study_ID,authors,title,journal,year,comments on studies
4,"Abelho, M; Martins, TF; Shinn, C; Moreira-Santos, M; Ribeiro, R",Effects of the fungicide pyrimethanil on biofilm and organic matter processing in outdoor lentic mesocosms,ECOTOXICOLOGY,2016,detailed abundances available in SI3 (are in values removed sheet)
13,"Artigas, J; Majerholc, J; Foulquier, A; Margoum, C; Volat, B; Neyra, M; Pesce, S",Effects of the fungicide tebuconazole on microbial capacities for litter breakdown in streams,AQUATIC TOXICOLOGY,2012,
29,"Bott, TL; Jackson, JK; McTammany, ME; Newbold, JD; Rier, ST; Sweeney, BW; Battle, JM",Abandoned coal mine drainage and its remediation: impacts on stream ecosystem structure and function,ECOLOGICAL APPLICATIONS,2012,detailed inv species abundance data available (not extracted)
34,"Brosed, M; Lamothe, S; Chauvet, E",Litter breakdown for ecosystem integrity assessment also applies to streams affected by pesticides,HYDROBIOLOGIA,2016,only correlation reported
47,"Carlisle, DM; Clements, WH","Leaf litter breakdown, microbial respiration and shredder production in metal-polluted streams",FRESHWATER BIOLOGY,2005,
52,"Chaffin, JL; Valett, HM; Webster, JR; Schreiber, ME",Influence of elevated As on leaf breakdown in an Appalachian headwater stream,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,2005,
70,"Creamer, RE; Rimmer, DL; Black, HIJ",Do elevated soil concentrations of metals affect the diversity and activity of soil invertebrates in the long-term?,SOIL USE AND MANAGEMENT,2008,detailed abundance extracted as total abundance not reported
95,"Duarte, S; Pascoal, C; Cassio, F",Functional stability of stream-dwelling microbial decomposers exposed to copper and zinc stress,FRESHWATER BIOLOGY,2009,"Also report treatments in which metals are added after 10 days exposure, mixture Cu-Zn and recovery experiments (not extracted)"
96,"Duarte, S; Pascoal, C; Cassio, F",Effects of zinc on leaf decomposition by fungi in streams: Studies in microcosms,MICROBIAL ECOLOGY,2004,"detailed relative abundance data for fungi available (not extracted, not possible to calculate raw abundance values based on the percentages given in T2)"
123,"Fernandez, D; Voss, K; Bundschuh, M; Zubrod, JP; Schafer, RB",Effects of fungicides on decomposer communities and litter decomposition in vineyard streams,SCIENCE OF THE TOTAL ENVIRONMENT,2015,detailed inv species abundance data available (not extracted)
